round,institute,program,stream,seat_type,quota,category,is_tfw,opening_rank_clean,closing_rank_clean
Round 1,"Techno India University, Salt Lake",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,47210,72299
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,126784,156612
Round 1,"Sister Nivedita University, New Town",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,31185,109622
Round 1,"Asansol Engineering College, Asansol, Burdwan",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,26896,83494
Round 1,"Elitte College of Engineering,Mahispota, Sodepur",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,100806,100806
Round 1,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,20276,64550
Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,129879,161528
Round 1,Techno International Batanagar,Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,602968,602968
Round 1,Techno International Batanagar,Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,82649,82649
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,12229,14589
Round 1,"Techno International New Town, Rajarhat, New Town",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,31698,111116
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,7413,13787
Round 1,University Of Calcutta,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,2152,3317
Round 1,Swami Vivekananda University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,72277,101061
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,7879,8230
Round 1,"Pailan College of Management & Technology, Pailan Park",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,256759,1168585
Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,22719,47528
